cluster,movie_indices,top_tags
0,"0,2,28,49,70,125,924,954,1135,1239,1413,1605,2609,2673,2942,2984,3163,3181,3432,3657,3669,4223,4525,4541,4580,4949,5008,5235,5565,5572,5617,5777,5927,6263,6322,6339,6467,6546,6549,6560,6600,6623,6649,6672,6707,6718,6975,7029,7033,7108,7160,7228,8191,8218,8305,8336,8342,8505,8552,8891,8894,9042,9083,9150,9217,9330,9464,9484,9493,9733,9822,9854,9858,9956,9986,10037,10220,10281,10307,10419,10570,10679,10748,10868,10952,11006,11288,11308,11481,11589,11624,11736,11778,11907,11978,12245,12387,12524,12633,12819,13045,13666,14026,14175,14715,15199,16110,17007,17406,18530,18660,19169,19595,19779,19868,19899,19972,20180,20251,20253,20293,20959,21553,21679,21767,21813,22174,23723,23764,24198,24778,25245,25442,25845,26275,29414,30022,31671,31982,32365,33073,33360,33978,36642,38676,39227,40063,40085,42081,42229,42293,42451,42584,42622,43027,43351,43366,43603","코메디,로맨스_통합,어드벤처,SF,스릴러"
1,"1,30,50,80,151,319,573,593,633,682,696,858,944,990,1097,1121,1188,1244,1381,1476,1557,1853,1898,2320,2648,3245,3258,3706,4079,4308,4559,4668,4730,4766,4774,4779,4840,4888,4900,4977,5027,5061,5067,5102,5109,5148,5151,5172,5200,5260,5261,5268,5276,5281,5307,5308,5324,5325,5444,5470,5476,5551,5573,5574,5640,5660,5692,5702,5711,5721,5799,5846,5909,5920,5974,5998,6021,6033,6063,6118,6188,6215,6216,6290,6306,6430,6463,6489,6496,6516,6537,6580,6619,6662,6663,6683,6695,6779,6811,6816,6846,6854,6891,6910,6914,6972,7014,7032,7037,7082,7086,7132,7157,7213,7229,7246,7256,7257,7267,7277,7294,7296,7433,7456,7470,7541,7549,7556,7608,7620,7628,7659,7665,7699,7725,7762,7767,7784,8006,8090,8135,8245,8291,8295,8598,8601,8648,8672,8717,8733,8765,8772,8801,8878,8922,8924,8950,8959,8970,9003,9054,9058,9085,9204,9403,9406,9498,9503,9512,9514,9530,9532,9566,9594,9599,9601,9602,9628,9679,9709,9736,9917,9980,10016,10034,10047,10088,10176,10182,10237,10255,10274,10283,10316,10320,10325,10356,10389,10410,10416,10478,10532,10552,10586,10782,10830,10877,10882,10885,10907,10954,11004,11254,11343,11362,11371,11384,11433,11440,11470,11561,11672,11679,11725,11755,11829,11852,11871,11937,11938,11948,11985,12034,12050,12057,12083,12182,12192,12221,12264,12297,12310,12382,12421,12439,12478,12507,12592,12657,12708,12864,12877,12974,13066,13147,13415,13503,13516,13677,13827,13839,13964,13981,13988,14051,14067,14146,14187,14218,14266,14310,14367,14455,14518,14602,14770,14822,14939,14942,14968,14975,14997,15032,15232,15384,15398,15438,15510,15555,15618,15650,15791,15851,15876,15892,15896,16059,16326,16327,16371,16443,16457,16627,16657,16747,16762,16829,17099,17134,17142,17153,17194,17247,17267,17370,17638,17663,17705,17726,17728,17806,17919,18011,18115,18160,18229,18238,18277,18280,18446,18568,18582,18598,18646,18719,18736,18760,18778,18840,18945,18997,19037,19151,19231,19346,19353,19441,19456,19473,19481,19674,19686,19700,19857,19948,19952,20183,20209,20220,20241,20281,20291,20462,20519,20520,20582,20614,20660,20697,20704,20723,21030,21196,21269,21270,21281,21312,21429,21459,21506,21520,21559,21631,21648,21674,21741,21790,21869,21952,22169,22320,22427,22519,22581,22643,22702,22855,22909,22940,22957,23214,23277,23286,23653,23686,23720,23904,23914,23954,23989,24025,24230,24288,24297,24362,24393,24396,24597,24657,24691,24981,25045,25065,25089,25135,25148,25233,25251,25396,25408,25544,25549,25728,25738,25928,26061,26133,26139,26185,26192,26412,26450,26460,26478,26537,26835,26848,26914,27036,27109,27273,27354,27422,27431,27438,27447,27670,28084,28106,28138,28169,28219,28245,28319,28342,28777,28814,28884,29036,29094,29100,29302,29626,29809,29855,30003,30135,30274,30623,30913,31027,31155,31194,31239,31240,31328,31375,31380,31448,31474,31607,32113,32288,32329,32405,32418,32480,32602,33121,33345,33366,33375,33376,33419,33499,33561,33689,33700,33753,33773,33884,33946,34068,34136,34564,34629,34652,34773,34932,34962,35042,35154,35224,35286,35504,35984,36654,36706,36729,36771,37017,37215,37392,37520,37726,37759,37774,37977,38465,38541,39013,39037,39242,39243,39383,39641,39703,40083,40273,40498,40950,41095,41145,41221,41272,41374,41375,41700,41793,41872,42050,42099,42112,42163,42216,42221,42264,42430,42548,42625,42646,42786,42821,42869,43022,43087,43092,43102,43126,43356,43422,43457,43511,43561,43606,43630,43651,43713","액션,호러,서부,미스터리,갱스터"
2,"3,131,239,442,1033,1761,3137,3155,3554,4714,5306,5353,5429,5502,5547,5607,5610,5630,5662,5952,6423,6659,6907,6957,7689,7988,8084,8240,8285,8403,8492,8577,9018,9336,9849,10285,10918,11143,11467,11788,11903,12046,12153,12208,12437,12563,13168,13552,13612,13921,14049,14679,14892,16195,16205,16680,17347,17463,17903,21002,22089,22589,23742,23813,24094,27130,27245,30030,31359,31984,32384,32570,33630,34179,37050,38667,39530,40393,43367","액션,코메디,범죄,로맨스_통합,미스터리"
3,"4,208,401,2791,3395,4506,4554,4560,4587,4721,4798,4803,4832,4838,4972,4996,5028,5114,5180,5263,5275,5284,5295,5300,5318,5321,5359,5360,5380,5504,5800,5847,6074,6104,6321,6433,6454,6497,6527,6667,6839,7124,7196,7747,8151,8243,8523,9013,9074,9358,9359,9397,9490,9600,9746,9778,9897,11052,11439,12242,12265,13076,14317,15644,15720,15735,16406,16470,16663,16808,16884,16952,17197,17248,19092,19556,19622,20092,20719,20989,21863,22291,23326,23364,23570,24254,24528,24902,25483,25505,25804,27247,27736,28632,28703,28917,30807,30936,30998,32188,33002,34392,35064,36919,37436,37992,38320,38532,39220,40619,41126,41773,42855,43499","드라마,범죄,스릴러,액션,미스터리"
4,"5,57,193,231,497,697,931,1210,1403,1407,1568,1603,2147,3252,4019,4231,4436,4856,5141,5312,5901,5937,5979,6000,6112,6137,6169,6291,6374,6404,6464,6482,6808,6844,7198,7206,7210,7398,7447,7528,7577,7627,8033,8247,8255,8464,8668,8918,8988,9006,9240,9315,9527,9824,10228,10321,10445,10562,11039,11058,11198,11215,11513,11528,11539,11718,11814,11843,11942,12134,12226,12268,12391,12530,12669,12874,13218,13349,13428,13528,13601,13630,13681,13689,13875,13972,13991,14010,14461,14592,14692,15646,16114,16180,16961,17154,17680,18350,18371,19301,19392,19629,19821,19925,20021,20114,20760,20804,21058,21428,21651,21683,22698,22716,23081,23113,23905,24067,25500,25864,25908,26650,27227,27374,27888,28027,28774,29817,30610,30813,30914,31383,31619,32355,32559,34595,35121,35802,36715,36826,37041,37129,37217,37622,38494,39208,39957,40196,40489,40661,41079,41277,41613,41965,41999","범죄,스릴러,로맨스_통합,호러,어드벤처"
5,"6,103,135,137,206,360,399,441,464,529,613,1015,1164,1292,1495,1748,2456,2674,2847,3108,3183,3584,3666,3723,4100,4194,4466,4474,4477,4497,4504,4524,4530,4584,4597,4598,4638,4661,4677,4695,4701,4732,4763,4772,4821,4873,4986,5005,5011,5057,5170,5223,5267,5474,5562,5577,5598,5621,5658,5675,5751,5784,5841,6055,6119,6133,6405,6419,6587,6905,7036,7092,7126,7266,7293,7308,7419,7491,7534,7538,7601,7618,7671,7726,7739,7748,7897,7917,7966,8066,8098,8112,8312,8467,8482,8512,8575,8631,8685,8686,8699,8848,8870,8935,8960,8969,9044,9056,9167,9231,9255,9369,9371,9412,9515,9589,9655,9695,9790,9837,9891,10019,10253,10257,10301,10491,10656,10685,10939,10956,10961,11000,11071,11162,11219,11224,11349,11569,11640,11695,11734,11752,11824,11845,11935,12080,12126,12213,12357,12397,12460,12613,12799,13074,13554,13571,13932,13987,14078,14125,14290,14620,14767,14938,15483,15586,15862,15879,15893,16109,16255,16264,16398,16545,16612,16752,16813,16887,17185,17392,17470,17585,17591,17604,17685,17735,17880,18098,18546,18733,18800,19228,19416,19471,19513,19726,19904,20137,20427,20536,20622,20686,21712,21833,21906,21915,22625,22831,23093,23126,23285,23329,23748,24109,24256,24692,24867,25086,25133,25303,25570,25754,25990,25996,26486,26911,26918,26955,27200,27269,27635,27692,27743,27819,27876,28220,28501,28898,29341,29391,30187,30189,30709,31059,31072,31134,31135,31150,31358,31379,32132,33197,33364,33623,33851,33958,34441,34541,34939,35574,35611,35771,36116,36140,36629,37566,37725,37890,38103,38160,38241,38651,39257,39881,40199,40429,40771,41443,41658,41842,41944,42296,42473,42808,43182,43529","드라마,액션,전쟁,어드벤처,로맨스_통합"
